,Days,Ab_1,Ab_2,Ab_3,Ab_4
0,1,0.22357871451054134,0.22357871451054134,0.22357871451054134,0.22357871451054134
1,2,0.40280876844264496,0.40280876844264496,0.40280876844264496,0.40280876844264496
2,3,0.545897217438405,0.545897217438405,0.545897217438405,0.545897217438405
3,4,0.6595401848269469,0.6595401848269469,0.6595401848269469,0.6595401848269469
4,5,0.7492009148748087,0.7492009148748087,0.7492009148748087,0.7492009148748087
5,6,0.8193366581662865,0.8193366581662865,0.8193366581662865,0.8193366581662865
6,7,0.873583805096226,0.873583805096226,0.873583805096226,0.873583805096226
7,8,0.9149089507159027,0.9149089507159027,0.9149089507159027,0.9149089507159027
8,9,0.9457321602922873,0.9457321602922873,0.9457321602922873,0.9457321602922873
9,10,0.9680275512448182,0.9680275512448182,0.9680275512448182,0.9680275512448182
10,11,0.9834053657323542,0.9834053657323542,0.9834053657323542,0.9834053657323542
11,12,0.9931789400076664,0.9931789400076664,0.9931789400076664,0.9931789400076664
12,13,0.9984193498584771,0.9984193498584771,0.9984193498584771,0.9984193498584771
13,14,1.0,1.0,1.0,1.0
14,15,0.9986330079483347,0.9986330079483347,0.9986330079483347,0.9986330079483347
15,16,0.9948988923671319,0.9948988923671319,0.9948988923671319,0.9948988923671319
16,17,0.989270798009084,0.989270798009084,0.989270798009084,0.989270798009084
17,18,0.9821342626370918,0.9821342626370918,0.9821342626370918,0.9821342626370918
18,19,0.9738033462976615,0.9738033462976615,0.9738033462976615,0.9738033462976615
19,20,0.9645337923529971,0.9645337923529971,0.9645337923529971,0.9645337923529971
20,21,0.954533766493144,0.954533766493144,0.954533766493144,0.954533766493144
21,22,0.943972619433133,0.943972619433133,0.943972619433133,0.943972619433133
22,23,0.9329880369808177,0.9329880369808177,0.9329880369808177,0.9329880369808177
23,24,0.9216918742351485,0.9216918742351485,0.9216918742351485,0.9216918742351485
24,25,0.9101749160644733,0.9101749160644733,0.9101749160644733,0.9101749160644733
25,26,0.8985107614537403,0.8985107614537403,0.8985107614537403,0.8985107614537403
26,27,0.8867589929488858,0.8867589929488858,0.8867589929488858,0.8867589929488858
27,28,0.8749677627572212,0.8749677627572212,0.8749677627572212,0.8749677627572212
28,29,0.8631759028529828,0.8631759028529828,0.8631759028529828,0.8631759028529828
29,30,0.8514146466826513,0.8514146466826513,0.8514146466826513,0.8514146466826513
30,31,0.8397090339453478,0.8397090339453478,0.8397090339453478,0.8397090339453478
31,32,0.8280790567706111,0.8280790567706111,0.8280790567706111,0.8280790567706111
32,33,0.8165405948832962,0.8165405948832962,0.8165405948832962,0.8165405948832962
33,34,0.8051061785877788,0.8051061785877788,0.8051061785877788,0.8051061785877788
34,35,0.7937856112576901,0.7937856112576901,0.7937856112576901,0.7937856112576901
35,36,0.7825864771864379,0.7825864771864379,0.7825864771864379,0.7825864771864379
36,37,0.7715145558958394,0.7715145558958394,0.7715145558958394,0.7715145558958394
37,38,0.7605741601178049,0.7605741601178049,0.7605741601178049,0.7605741601178049
38,39,0.7497684114960916,0.7497684114960916,0.7497684114960916,0.7497684114960916
39,40,0.7390994654701641,0.7390994654701641,0.7390994654701641,0.7390994654701641
40,41,0.7285686946939296,0.7285686946939296,0.7285686946939296,0.7285686946939296
41,42,0.7181768386209861,0.7181768386209861,0.7181768386209861,0.7181768386209861
42,43,0.7079241254836242,0.7079241254836242,0.7079241254836242,0.7079241254836242
43,44,0.6978103717468568,0.6978103717468568,0.6978103717468568,0.6978103717468568
44,45,0.6878350631836744,0.6878350631836744,0.6878350631836744,0.6878350631836744
45,46,0.6779974209547205,0.6779974209547205,0.6779974209547205,0.6779974209547205
46,47,0.6682964554529813,0.6682964554529813,0.6682964554529813,0.6682964554529813
47,48,0.6587310101660621,0.6587310101660621,0.6587310101660621,0.6587310101660621
48,49,0.6492997973940894,0.6492997973940894,0.6492997973940894,0.6492997973940894
49,50,0.6400014273230162,0.6400014273230162,0.6400014273230162,0.6400014273230162
50,51,0.6308344316771114,0.6308344316771114,0.6308344316771114,0.6308344316771114
51,52,0.6217972829491889,0.6217972829491889,0.6217972829491889,0.6217972829491889
52,53,0.6128884100233688,0.6128884100233688,0.6128884100233688,0.6128884100233688
